Country,Year,Population,GDP (USD),Total Emissions,CO2 Agriculture,CO2 Buildings,CO2 Fuel Exploitation,CO2 Industrial Combustion,CO2 Power Industry,CO2 Processes,CO2 Transport,CO2 Waste,CH4 Agriculture,CH4 Buildings,CH4 Fuel Exploitation,CH4 Industrial Combustion,CH4 Power Industry,CH4 Processes,CH4 Transport,CH4 Waste ,F-Gases Processes,N2O Agriculture,N2O Buildings,N2O Fuel Exploitation,N2O Industrial Combustion,N2O Power Industry,N2O Processes,N2O Transport,N2O Waste
Afghanistan,2000,19542982,,16.04541997,0.007857141,0.036545309,0.025028121,0.246399241,0.38804867,0.125918889,0.241419407,,9.08738192,0.10939669,0.335212245,0.001865838,0.000260169,,0.003002197,2.901900508,0.089241774,2.231852833,0.013089761,0.00204083,0.002392582,0.000463989,0.01976484,0.003590934,0.172746083
Afghanistan,2001,19688632,,14.38789463,0.038028566,0.041532986,0.02533876,0.186506871,0.349180524,0.117675326,0.230046887,,7.587492212,0.112049535,0.336626336,0.001863828,0.00031961,,0.002508601,3.026917604,0.122255481,1.987452641,0.013378423,0.002103712,0.002415986,0.000626727,0.020111218,0.003213727,0.180249066
Afghanistan,2002,21000256,3825701406,17.04471035,0.032685708,0.030669652,0.000270592,0.281072215,0.323762197,0.124619379,0.179801057,,9.690461125,0.117064,0.359029249,0.002030783,0.000314207,,0.002330543,3.176118641,0.15393848,2.336999465,0.013844596,0.002076728,0.002601284,0.000589919,0.020409594,0.002486266,0.191534671
Afghanistan,2003,22645130,4520946849,17.73231774,0.036142851,0.042946697,0.000376896,0.214303366,0.386235067,0.131833305,0.246914747,,9.999325229,0.119926262,0.34044091,0.002004964,0.000501923,,0.002970949,3.338260436,0.190157659,2.426429091,0.014288042,0.002159677,0.002616022,0.000945477,0.022047488,0.00317148,0.208319201
Afghanistan,2004,23553551,5224896719,17.78945145,0.040857135,0.041438923,0.000217001,0.169212705,0.342919589,0.133939239,0.210581109,,9.999500143,0.123070955,0.333298353,0.002023297,0.000477646,,0.002282856,3.492935664,0.226768741,2.407366665,0.014601265,0.002218911,0.002636631,0.00088057,0.021583143,0.002801211,0.217839696
Afghanistan,2005,24411191,6203256497,18.19132436,0.050285708,0.056708237,0.00210192,0.245604252,0.493538062,0.132821089,0.352773884,,9.661084467,0.126131821,0.36123872,0.002056282,0.000605403,,0.004225776,3.645091784,0.270851108,2.5111718,0.014921861,0.002347633,0.002705898,0.001140576,0.024800303,0.004358848,0.224758926
Afghanistan,2006,25442944,6971758333,18.46103626,,0.071937313,0.002472804,0.262196737,0.547340638,0.129847638,0.463560232,,9.679741099,0.128959765,0.356238936,0.002163468,0.00066297,,0.004451149,3.769877747,0.285779993,2.466758657,0.015311576,0.002410078,0.002865625,0.001286935,0.027247559,0.006058588,0.233866751
Afghanistan,2007,25903301,9747886105,19.61755452,,0.102613808,0.003717085,0.644945225,0.686490145,0.133087307,0.492728368,,9.968288219,0.131596446,0.478134709,0.003025201,0.001072352,,0.003982672,3.896268265,0.291898329,2.472112074,0.018416845,0.002469803,0.004122812,0.002161812,0.029090865,0.006480829,0.244851346
Afghanistan,2008,26427199,10109296958,23.08980825,,0.213343677,0.007346395,1.158102478,1.212221094,0.130562437,1.308005242,,10.9941337,0.134586958,0.549193274,0.004052795,0.001589117,,0.009288629,4.002346388,0.303551721,2.705800771,0.02279725,0.002561319,0.005693059,0.003097919,0.044856935,0.019661463,0.257015637
Afghanistan,2009,27385307,12416152648,26.31346123,,0.540723984,0.014460497,1.608979491,1.754106612,0.1404214,2.427742358,,11.34378663,0.138676256,0.590544352,0.005024116,0.002096984,,0.015243754,4.148093449,0.313787409,2.857730622,0.027223265,0.002625114,0.007178268,0.004283476,0.063531082,0.038345591,0.268856524
